language,file,channel,termid,term,ref_bt,ref_et,sys_bt,sys_et,sys_score,sys_decision,alignment
swahili,BABEL_OP2_202_63084_20130801_015957_outLine,1,KW202-00040,eager kukam,236.41,237.0600,,,,,MISS
swahili,BABEL_OP2_202_45459_20131012_022245_inLine,1,KW202-00041,haukula,220.47,220.7900,,,,,MISS
swahili,BABEL_OP2_202_32287_20131207_203757_outLine,1,KW202-00041,haukula,,,127.53,127.95,0.00182662056406,YES,FA
swahili,BABEL_OP2_202_33273_20130219_224915_inLine,1,KW202-00041,haukula,,,91.69,92.04,0.00165830388808,YES,FA
swahili,BABEL_OP2_202_25085_20140219_185114_inLine,1,KW202-00041,haukula,,,310.50,311.1,0.00961662932558,YES,FA
swahili,BABEL_OP2_202_63484_20140128_234153_outLine,1,KW202-00041,haukula,,,544.92,545.41,0.00182011014118,YES,FA
swahili,BABEL_OP2_202_55902_20140121_230205_outLine,1,KW202-00041,haukula,,,527.40,527.76,0.00134679275252,YES,FA
swahili,BABEL_OP2_202_55106_20131215_030617_outLine,1,KW202-00041,haukula,,,378.82,379.39,0.00250793585392,YES,FA
swahili,BABEL_OP2_202_54046_20140121_184347_outLine,1,KW202-00041,haukula,,,456.39,456.85,0.00190564816467,YES,FA
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00041,haukula,,,430.19,430.81,0.0101759450457,YES,FA
swahili,BABEL_OP2_202_75993_20140115_210258_inLine,1,KW202-00041,haukula,,,18.52,18.99,0.0206517608634,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00041,haukula,,,341.93,342.32,0.00125802708427,YES,FA
swahili,BABEL_OP2_202_34197_20121228_201800_inLine,1,KW202-00041,haukula,,,128.34,128.63,0.0667983679657,YES,FA
swahili,BABEL_OP2_202_17115_20140218_210921_outLine,1,KW202-00041,haukula,,,170.15,170.68,0.0110609669109,YES,FA
swahili,BABEL_OP2_202_59549_20131003_204655_inLine,1,KW202-00041,haukula,,,197.76,198.51,0.00185870417857,YES,FA
swahili,BABEL_OP2_202_59549_20131003_204655_inLine,1,KW202-00041,haukula,,,160.31,160.69,0.00378268425583,YES,FA
swahili,BABEL_OP2_202_59549_20131003_204655_inLine,1,KW202-00041,haukula,,,240.99,241.39,0.00112881690631,YES,FA
swahili,BABEL_OP2_202_84177_20131208_021104_inLine,1,KW202-00041,haukula,,,228.83,229.25,0.0153781399999,YES,FA
swahili,BABEL_OP2_202_59549_20131003_203701_inLine,1,KW202-00041,haukula,,,230.35,230.88,0.479273318411,YES,FA
swahili,BABEL_OP2_202_12635_20131101_212012_outLine,1,KW202-00041,haukula,,,191.00,191.3,0.00956190373507,YES,FA
swahili,BABEL_OP2_202_63336_20140129_004138_outLine,1,KW202-00041,haukula,,,386.53,387.05,0.0443455455149,YES,FA
swahili,BABEL_OP2_202_53957_20131031_012125_inLine,1,KW202-00041,haukula,,,577.63,578.1,0.00134192890929,YES,FA
swahili,BABEL_OP2_202_76756_20130417_210400_outLine,1,KW202-00041,haukula,,,276.82,277.66,0.312701849529,YES,FA
swahili,BABEL_OP2_202_29663_20131208_035816_inLine,1,KW202-00099,anataka kuniona,114.41,115.5000,114.43,116.5,0.671794792492,YES,CORR
swahili,BABEL_OP2_202_29663_20131208_035816_inLine,1,KW202-00099,anataka kuniona,115.50,116.4900,115.52,116.49,0.32309746727,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00099,anataka kuniona,,,234.72,235.42,0.00210904944276,YES,FA
swahili,BABEL_OP2_202_44309_20140220_184116_outLine,1,KW202-00099,anataka kuniona,,,424.42,425.29,0.00299869079551,YES,FA
swahili,BABEL_OP2_202_47405_20131215_233528_inLine,1,KW202-00098,i swear,79.42,79.8000,79.39,79.82,0.110281296134,YES,CORR
swahili,BABEL_OP2_202_18766_20140218_222017_outLine,1,KW202-00098,i swear,,,344.89,345.68,0.00895317649765,YES,FA
swahili,BABEL_OP2_202_55042_20131217_033729_inLine,1,KW202-00098,i swear,,,130.64,131.06,0.00146346757379,YES,FA
swahili,BABEL_OP2_202_55042_20131217_033729_inLine,1,KW202-00098,i swear,,,330.67,331.57,0.000693620756359,YES,FA
swahili,BABEL_OP2_202_27478_20140209_224101_outLine,1,KW202-00098,i swear,,,181.60,182.33,0.00197030698917,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,429.93,430.27,0.00441393848004,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,136.30,136.67,0.017187110069,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,431.39,431.77,0.00734375562344,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,363.29,363.79,0.0269017385015,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,123.79,124.61,0.00127829127156,YES,FA
swahili,BABEL_OP2_202_92740_20130923_235638_outLine,1,KW202-00098,i swear,,,492.58,492.83,0.000914108410554,YES,FA
swahili,BABEL_OP2_202_24290_20140219_000423_inLine,1,KW202-00098,i swear,,,361.46,363.16,0.00510512165369,YES,FA
swahili,BABEL_OP2_202_54046_20140121_184347_inLine,1,KW202-00098,i swear,,,220.28,220.7,0.00334870768318,YES,FA
swahili,BABEL_OP2_202_54046_20140121_184347_inLine,1,KW202-00098,i swear,,,504.07,505.86,0.0172087258051,YES,FA
swahili,BABEL_OP2_202_73258_20130215_190454_inLine,1,KW202-00098,i swear,,,18.08,18.48,0.000730069574961,YES,FA
swahili,BABEL_OP2_202_73258_20130215_190454_inLine,1,KW202-00098,i swear,,,83.43,83.85,0.00137418523998,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00098,i swear,,,184.69,185.05,0.00124105038535,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00098,i swear,,,188.36,188.95,0.000753491638054,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00098,i swear,,,0.22,2.33,0.000832972272642,YES,FA
swahili,BABEL_OP2_202_98311_20130109_195922_inLine,1,KW202-00098,i swear,,,264.16,264.61,0.00192027797643,YES,FA
swahili,BABEL_OP2_202_63084_20130801_014407_inLine,1,KW202-00098,i swear,,,16.50,17.31,0.0108880906281,YES,FA
swahili,BABEL_OP2_202_73819_20130911_163458_inLine,1,KW202-00098,i swear,,,235.50,235.87,0.007655671871,YES,FA
swahili,BABEL_OP2_202_29633_20131009_175514_outLine,1,KW202-00098,i swear,,,315.86,316.16,0.000735612817185,YES,FA
swahili,BABEL_OP2_202_63336_20140129_004138_inLine,1,KW202-00098,i swear,,,390.88,391.27,0.101791843027,YES,FA
swahili,BABEL_OP2_202_63336_20140129_004138_inLine,1,KW202-00098,i swear,,,65.87,66.62,0.0170257265903,YES,FA
swahili,BABEL_OP2_202_12635_20131101_213218_outLine,1,KW202-00098,i swear,,,132.32,132.94,0.000738293044561,YES,FA
swahili,BABEL_OP2_202_84177_20131208_021104_inLine,1,KW202-00098,i swear,,,139.9,140.32,0.00944580731212,YES,FA
swahili,BABEL_OP2_202_55902_20140121_230205_inLine,1,KW202-00098,i swear,,,299.30,299.7,0.001057015223,YES,FA
swahili,BABEL_OP2_202_52265_20140123_235252_outLine,1,KW202-00098,i swear,,,546.68,547.08,0.00960658317664,YES,FA
swahili,BABEL_OP2_202_18766_20140218_222017_inLine,1,KW202-00098,i swear,,,512.33,512.64,0.0771038951578,YES,FA
